ENSMUSG00000035851|Ythdc1
ENSMUSG00000029290|Zfp326
ENSMUSG00000052146|Rps10
ENSMUSG00000031429|Psmd10
ENSMUSG00000022100|Xpo7
ENSMUSG00000078134|Gm12355
ENSMUSG00000024118|Tedc2
ENSMUSG00000025340|Rabgef1
ENSMUSG00000042426|Dhx29
ENSMUSG00000029238|Clock
