ENSMUSG00000060397|Zfp128
ENSMUSG00000049672|Zbtb14
ENSMUSG00000026171|Rnf25
ENSMUSG00000024191|Bnip1
ENSMUSG00000026280|Atg4b
ENSMUSG00000027710|Acad9
ENSMUSG00000031157|Pqbp1
ENSMUSG00000048429|Timm29
ENSMUSG00000051177|Plcb1
ENSMUSG00000035776|Cd99l2
