ENSMUSG00000037475|Thoc2
ENSMUSG00000075486|Commd6
ENSMUSG00000027540|Ptpn1
ENSMUSG00000024750|Zfand5
ENSMUSG00000030304|Ergic2
ENSMUSG00000003458|Ncstn
ENSMUSG00000049800|Sertad2
ENSMUSG00000075419|Dolk
ENSMUSG00000024217|Snrpc
ENSMUSG00000019261|Map1s
