ENSMUSG00000042742|Bmt2
ENSMUSG00000048251|Bcl11b
ENSMUSG00000070576|Mn1
ENSMUSG00000004360|9330159F19Rik
ENSMUSG00000042589|Cux2
ENSMUSG00000010175|Prox1
ENSMUSG00000033740|St18
ENSMUSG00000038256|Bcl9
ENSMUSG00000079330|Lemd1
ENSMUSG00000023050|Map3k12
