ENSMUSG00000022129|Dct
ENSMUSG00000045179|Sox3
ENSMUSG00000053117|E330013P04Rik
ENSMUSG00000050334|C130071C03Rik
ENSMUSG00000041912|Tdrkh
ENSMUSG00000031016|Wee1
ENSMUSG00000054423|Cadps
ENSMUSG00000031167|Rbm3
ENSMUSG00000066607|6030419C18Rik
ENSMUSG00000043262|Uevld
