ENSMUSG00000023010|Tmbim6
ENSMUSG00000056941|Commd7
ENSMUSG00000043372|Hexim2
ENSMUSG00000031467|Agpat5
ENSMUSG00000031770|Herpud1
ENSMUSG00000087687|Pet100
ENSMUSG00000043733|Ptpn11
ENSMUSG00000038650|Rnh1
ENSMUSG00000024570|Rbfa
ENSMUSG00000020225|Tmbim4
