ENSMUSG00000025665|Rps6ka6
ENSMUSG00000024785|Rcl1
ENSMUSG00000016984|Etaa1
ENSMUSG00000030505|Prmt3
ENSMUSG00000025289|Prdx4
ENSMUSG00000027014|Cwc22
ENSMUSG00000039748|Exo1
ENSMUSG00000025925|Terf1
ENSMUSG00000049235|Gm7324
ENSMUSG00000028066|Pmf1
