ENSMUSG00000029777|Gars
ENSMUSG00000037376|Trmt6
ENSMUSG00000037204|Atg101
ENSMUSG00000028187|Rpf1
ENSMUSG00000031546|Gins4
ENSMUSG00000059208|Hnrnpm
ENSMUSG00000028029|Aimp1
ENSMUSG00000021134|Srsf5
ENSMUSG00000024560|Cxxc1
ENSMUSG00000005566|Trim28
