ENSMUSG00000041926|Rnpep
ENSMUSG00000002428|Hltf
ENSMUSG00000016831|Tox4
ENSMUSG00000027808|Serp1
ENSMUSG00000002458|Rgs19
ENSMUSG00000068580|Zfyve19
ENSMUSG00000020152|Actr2
ENSMUSG00000068329|Htra2
ENSMUSG00000070939|Tgfbrap1
ENSMUSG00000025630|Hprt
