ENSMUSG00000044708|Kcnj10
ENSMUSG00000032737|Inppl1
ENSMUSG00000022231|Sema5a
ENSMUSG00000033350|Chst2
ENSMUSG00000048537|Phldb1
ENSMUSG00000053716|Dusp7
ENSMUSG00000036402|Gng12
ENSMUSG00000020137|Thap2
ENSMUSG00000032537|Ephb1
ENSMUSG00000038831|Ralgps1
