ENSMUSG00000044927|H1fx
ENSMUSG00000027715|Ccna2
ENSMUSG00000019942|Cdk1
ENSMUSG00000002297|Dbf4
ENSMUSG00000030677|Kif22
ENSMUSG00000022070|Bora
ENSMUSG00000027201|Myef2
ENSMUSG00000031922|Cep57
ENSMUSG00000019809|Pex3
ENSMUSG00000064061|Dzip3
