ENSMUSG00000056228|Cars2
ENSMUSG00000039456|Morc3
ENSMUSG00000002728|Naa20
ENSMUSG00000073982|Rhog
ENSMUSG00000029213|Commd8
ENSMUSG00000075705|Msrb1
ENSMUSG00000078485|Plekhn1
ENSMUSG00000022555|Dgat1
ENSMUSG00000042042|Csgalnact2
ENSMUSG00000008140|Emc10
