ENSMUSG00000046519|Golph3l
ENSMUSG00000008450|Nutf2
ENSMUSG00000015095|Fbxw5
ENSMUSG00000026273|Mterf4
ENSMUSG00000025223|Ldb1
ENSMUSG00000048118|Arid4a
ENSMUSG00000038214|Bend3
ENSMUSG00000046862|Pramef8
ENSMUSG00000038628|Polr3k
ENSMUSG00000038696|Mapkap1
