ENSMUSG00000023411|Nfatc4
ENSMUSG00000042372|Dmrt3
ENSMUSG00000061607|Mdc1
ENSMUSG00000038602|Slc35f1
ENSMUSG00000047143|Dmrta2
ENSMUSG00000038717|Atp5l
ENSMUSG00000054752|Fsd1l
ENSMUSG00000054057|A930004D18Rik
ENSMUSG00000034164|Emid1
ENSMUSG00000114649|3110006O06Rik
