ENSMUSG00000038949|Cnst
ENSMUSG00000025239|Limd1
ENSMUSG00000038375|Trp53inp2
ENSMUSG00000039953|Clstn1
ENSMUSG00000008206|Cers4
ENSMUSG00000024420|Zfp521
ENSMUSG00000041757|Plekha6
ENSMUSG00000059401|Mamld1
ENSMUSG00000035168|Tanc1
ENSMUSG00000028917|Plekhm2
