ENSMUSG00000021669|Col4a3bp
ENSMUSG00000026939|Tmem141
ENSMUSG00000002395|Use1
ENSMUSG00000005142|Man2b1
ENSMUSG00000048234|Rnf149
ENSMUSG00000029684|Wasl
ENSMUSG00000031930|Wwp2
ENSMUSG00000034247|Plekhm1
ENSMUSG00000020376|Rnf130
ENSMUSG00000020189|Osbpl8
