ENSMUSG00000001036|Epn2
ENSMUSG00000036790|Slitrk2
ENSMUSG00000024500|Ppp2r2b
ENSMUSG00000031925|Maml2
ENSMUSG00000039194|Rlbp1
ENSMUSG00000023022|Lima1
ENSMUSG00000027452|Acss1
ENSMUSG00000048001|Hes5
ENSMUSG00000032009|Sesn3
ENSMUSG00000049551|Fzd9
