ENSMUSG00000024875|Yif1a
ENSMUSG00000021646|Mccc2
ENSMUSG00000047777|Phf13
ENSMUSG00000049760|2410015M20Rik
ENSMUSG00000021786|Oxsm
ENSMUSG00000032788|Pdxk
ENSMUSG00000063172|Hspb11
ENSMUSG00000072946|Ptgr2
ENSMUSG00000038388|Mpp6
ENSMUSG00000022684|Bfar
