ENSMUSG00000025609|Mkln1
ENSMUSG00000024764|Naa40
ENSMUSG00000032855|Pkd1
ENSMUSG00000041297|Cdk13
ENSMUSG00000026790|Odf2
ENSMUSG00000025404|R3hdm2
ENSMUSG00000032827|Ppp1r9a
ENSMUSG00000040929|Rfx3
ENSMUSG00000038708|Golga4
ENSMUSG00000023087|Noct
