ENSMUSG00000069049|Eif2s3y
ENSMUSG00000075229|Ccdc58
ENSMUSG00000033845|Mrpl15
ENSMUSG00000033047|Eif3l
ENSMUSG00000021500|Ddx46
ENSMUSG00000032267|Usp28
ENSMUSG00000042207|Kdm5b
ENSMUSG00000021807|Rtraf
ENSMUSG00000024493|Lars
ENSMUSG00000024556|Me2
