ENSMUSG00000039458|Mtmr12
ENSMUSG00000030302|Atp2b2
ENSMUSG00000025856|Pdgfa
ENSMUSG00000039410|Prdm16
ENSMUSG00000025025|Mxi1
ENSMUSG00000069769|Msi2
ENSMUSG00000031642|Sh3rf1
ENSMUSG00000096188|Cmtm4
ENSMUSG00000049553|Polr1a
ENSMUSG00000051413|Plagl2
