ENSMUSG00000008333|Snrpb2
ENSMUSG00000026750|Psmb7
ENSMUSG00000046691|Chtf8
ENSMUSG00000020935|Dcakd
ENSMUSG00000039067|Psmd7
ENSMUSG00000027091|Zc3h15
ENSMUSG00000066037|Hnrnpr
ENSMUSG00000015757|Ppil4
ENSMUSG00000031939|Taf1d
ENSMUSG00000032621|Srek1
