ENSMUSG00000038290|Smg6
ENSMUSG00000041444|Arhgap32
ENSMUSG00000062743|Zfp677
ENSMUSG00000058638|Zfp110
ENSMUSG00000048832|Vps37c
ENSMUSG00000022704|Qtrt2
ENSMUSG00000024759|Atl3
ENSMUSG00000061079|Zfp143
ENSMUSG00000050312|Nsun3
ENSMUSG00000021962|Dcp1a
