ENSMUSG00000006818|Sod2
ENSMUSG00000022354|Ndufb9
ENSMUSG00000016554|Eif3d
ENSMUSG00000022336|Eif3e
ENSMUSG00000022635|Zcrb1
ENSMUSG00000020978|Klhdc2
ENSMUSG00000032288|Imp3
ENSMUSG00000000563|Atp5f1
ENSMUSG00000020988|L2hgdh
ENSMUSG00000043445|Pgp
