ENSMUSG00000020380|Rad50
ENSMUSG00000020114|Cand1
ENSMUSG00000034345|Gtf2h5
ENSMUSG00000055302|Mrfap1
ENSMUSG00000022889|Mrpl39
ENSMUSG00000044018|Mrpl50
ENSMUSG00000020918|Kat2a
ENSMUSG00000051346|Spryd4
ENSMUSG00000042389|Tsen2
ENSMUSG00000042487|Leo1
