ENSMUSG00000019891|Dcbld1
ENSMUSG00000027954|Efna1
ENSMUSG00000066621|Tecpr1
ENSMUSG00000052539|Magi3
ENSMUSG00000020121|Srgap1
ENSMUSG00000035314|Gdpd5
ENSMUSG00000020015|Cdk17
ENSMUSG00000001247|Lsr
ENSMUSG00000039621|Prex1
ENSMUSG00000053062|Jam2
