ENSMUSG00000034730|Adgrb1
ENSMUSG00000021136|Smoc1
ENSMUSG00000000794|Kcnn3
ENSMUSG00000025203|Scd2
ENSMUSG00000031342|Gpm6b
ENSMUSG00000022307|Oxr1
ENSMUSG00000034780|B3galt1
ENSMUSG00000027309|4930402H24Rik
ENSMUSG00000029778|Adcyap1r1
ENSMUSG00000019872|Smpdl3a
