ENSMUSG00000071662|Polr2g
ENSMUSG00000036167|Pphln1
ENSMUSG00000019297|Nop9
ENSMUSG00000028345|Tex10
ENSMUSG00000060377|Rpl36a-ps1
ENSMUSG00000060373|Hnrnpc
ENSMUSG00000027455|Nsfl1c
ENSMUSG00000020922|Lsm12
ENSMUSG00000019179|Mdh2
ENSMUSG00000040028|Elavl1
