ENSMUSG00000025321|Itgb8
ENSMUSG00000001786|Fbxo7
ENSMUSG00000031990|Jam3
ENSMUSG00000034573|Ptpn13
ENSMUSG00000022122|Ednrb
ENSMUSG00000059791|Nrm
ENSMUSG00000069793|Slfn9
ENSMUSG00000025402|Nab2
ENSMUSG00000052914|Cyp2j6
ENSMUSG00000028383|Hsdl2
