ENSMUSG00000019794|Katna1
ENSMUSG00000052488|Cherp
ENSMUSG00000028049|Scamp3
ENSMUSG00000022020|Naa16
ENSMUSG00000006299|Aamp
ENSMUSG00000003299|Mrpl4
ENSMUSG00000018861|Fdxr
ENSMUSG00000028261|Ndufaf4
ENSMUSG00000032116|Stt3a
ENSMUSG00000040459|Arglu1
