ENSMUSG00000009566|Fpgs
ENSMUSG00000022750|Klhl22
ENSMUSG00000031095|Cul4b
ENSMUSG00000018821|Avpi1
ENSMUSG00000031578|Mak16
ENSMUSG00000048351|Coa7
ENSMUSG00000048142|Nat8l
ENSMUSG00000028889|Yrdc
ENSMUSG00000031575|Ash2l
ENSMUSG00000021326|Trim27
