ENSMUSG00000069631|Strada
ENSMUSG00000059436|Max
ENSMUSG00000040385|Ppp1ca
ENSMUSG00000004626|Stxbp2
ENSMUSG00000030835|Nomo1
ENSMUSG00000028745|Capzb
ENSMUSG00000001847|Rac1
ENSMUSG00000051502|Ufsp1
ENSMUSG00000004996|Mri1
ENSMUSG00000004535|Tax1bp1
