ENSMUSG00000035757|Selenoo
ENSMUSG00000020134|Peli1
ENSMUSG00000026718|Stam
ENSMUSG00000029016|Clcn6
ENSMUSG00000030759|Far1
ENSMUSG00000041415|Dicer1
ENSMUSG00000028149|Rap1gds1
ENSMUSG00000028540|Dph2
ENSMUSG00000038206|Fbxo8
ENSMUSG00000024350|Dnajc18
