ENSMUSG00000039781|Cep131
ENSMUSG00000039512|Uhrf1bp1
ENSMUSG00000036550|Cnot1
ENSMUSG00000041035|Gm17018
ENSMUSG00000030086|Chchd6
ENSMUSG00000020823|Sec14l1
ENSMUSG00000054519|Zfp867
ENSMUSG00000020184|Mdm2
ENSMUSG00000040040|Ift88
ENSMUSG00000031916|Cog8
