ENSMUSG00000042215|Bag2
ENSMUSG00000038991|Txndc5
ENSMUSG00000002059|Rab34
ENSMUSG00000023991|Foxp4
ENSMUSG00000029249|Rest
ENSMUSG00000022106|Rcbtb2
ENSMUSG00000051768|Xrcc1
ENSMUSG00000016262|Sertad4
ENSMUSG00000026586|Prrx1
ENSMUSG00000032717|Mdfi
