ENSMUSG00000020180|Snrpd3
ENSMUSG00000030188|Magohb
ENSMUSG00000037601|Nme1
ENSMUSG00000061613|U2af1
ENSMUSG00000028495|Rps6
ENSMUSG00000046434|Hnrnpa1
ENSMUSG00000034321|Exosc1
ENSMUSG00000028156|Eif4e
ENSMUSG00000059796|Eif4a1
ENSMUSG00000021131|Erh
