ENSMUSG00000022477|Aco2
ENSMUSG00000038611|Phrf1
ENSMUSG00000036026|Tmem63b
ENSMUSG00000021877|Arf4
ENSMUSG00000021252|Erg28
ENSMUSG00000022516|Nudt16l1
ENSMUSG00000020962|Gtf2a1
ENSMUSG00000047213|Ythdf3
ENSMUSG00000033739|Fkbpl
ENSMUSG00000075703|Selenoi
