ENSMUSG00000003865|Gys1
ENSMUSG00000022994|Adcy6
ENSMUSG00000068742|Cry2
ENSMUSG00000072825|Cep170b
ENSMUSG00000033364|Usp37
ENSMUSG00000007617|Homer1
ENSMUSG00000035545|Leng8
ENSMUSG00000035342|Lzts2
ENSMUSG00000031608|Galnt7
ENSMUSG00000028407|Smim27
