ENSMUSG00000026634|Angel2
ENSMUSG00000022828|Gtf2e1
ENSMUSG00000027242|Wdr76
ENSMUSG00000022322|Shcbp1
ENSMUSG00000036676|Tmtc3
ENSMUSG00000026942|Traf2
ENSMUSG00000036840|Siah1a
ENSMUSG00000037262|Kin
ENSMUSG00000017499|Cdc6
ENSMUSG00000035125|Gcfc2
