ENSMUSG00000100252|Mir124-2hg
ENSMUSG00000004843|Chmp2b
ENSMUSG00000026156|B3gat2
ENSMUSG00000020876|Snx11
ENSMUSG00000028184|Adgrl2
ENSMUSG00000028266|Lmo4
ENSMUSG00000025582|Nptx1
ENSMUSG00000000632|Sez6
ENSMUSG00000039166|Akap7
ENSMUSG00000056708|Ier5
