ENSMUSG00000029250|Polr2b
ENSMUSG00000037458|Azin1
ENSMUSG00000026153|Fam135a
ENSMUSG00000025066|Sfr1
ENSMUSG00000027984|Hadh
ENSMUSG00000056758|Hmga2
ENSMUSG00000030528|Blm
ENSMUSG00000034820|Cpsf7
ENSMUSG00000047824|Pygo2
ENSMUSG00000036980|Taf6
