ENSMUSG00000022456|Sept3
ENSMUSG00000027438|Napb
ENSMUSG00000024962|Vegfb
ENSMUSG00000028528|Dnajc6
ENSMUSG00000064329|Scn1a
ENSMUSG00000043843|Tmem145
ENSMUSG00000070866|Zfp804a
ENSMUSG00000022211|Carmil3
ENSMUSG00000031309|Rps6ka3
ENSMUSG00000020181|Nav3
