ENSMUSG00000026021|Sumo1
ENSMUSG00000026020|Nop58
ENSMUSG00000025613|Cct8
ENSMUSG00000074088|Snrnp40
ENSMUSG00000028096|Gpr89
ENSMUSG00000026238|Ptma
ENSMUSG00000024800|Rpp30
ENSMUSG00000020869|Lrrc59
ENSMUSG00000027998|Plrg1
ENSMUSG00000036932|Aifm1
