ENSMUSG00000028645|Slc2a1
ENSMUSG00000024805|Pcgf5
ENSMUSG00000041135|Ripk2
ENSMUSG00000022178|Ajuba
ENSMUSG00000003153|Slc2a3
ENSMUSG00000032300|1700017B05Rik
ENSMUSG00000044641|Pard6b
ENSMUSG00000002265|Peg3
ENSMUSG00000036106|Prr5
ENSMUSG00000027932|Slc27a3
