ENSMUSG00000033430|Terf2ip
ENSMUSG00000032599|Ip6k2
ENSMUSG00000067931|Zfp948
ENSMUSG00000060681|Slc9a6
ENSMUSG00000052534|Pbx1
ENSMUSG00000021268|Meg3
ENSMUSG00000039086|Ss18l1
ENSMUSG00000006675|P4htm
ENSMUSG00000039478|Micu3
ENSMUSG00000038187|Btbd10
