ENSMUSG00000040640|Erc2
ENSMUSG00000029123|Stk32b
ENSMUSG00000062995|Ica1
ENSMUSG00000041439|Mfsd6
ENSMUSG00000025889|Snca
ENSMUSG00000026576|Atp1b1
ENSMUSG00000034226|Rhov
ENSMUSG00000035640|Cbarp
ENSMUSG00000034958|Atcay
ENSMUSG00000094500|Smim18
