ENSMUSG00000049470|Aff4
ENSMUSG00000034832|Tet3
ENSMUSG00000022019|Tdrd3
ENSMUSG00000006010|BC003331
ENSMUSG00000056763|Cspp1
ENSMUSG00000006676|Usp19
ENSMUSG00000022897|Dyrk1a
ENSMUSG00000051853|Arf3
ENSMUSG00000017715|Pgs1
ENSMUSG00000047205|Dusp18
