ENSMUSG00000035566|Pcdh17
ENSMUSG00000024924|Vldlr
ENSMUSG00000024935|Slc1a1
ENSMUSG00000008136|Fhl2
ENSMUSG00000049100|Pcdh10
ENSMUSG00000030126|Tmcc1
ENSMUSG00000017631|Abr
ENSMUSG00000011884|Gltp
ENSMUSG00000043259|Fam13c
ENSMUSG00000039911|Spsb1
