ENSMUSG00000000560|Gabra2
ENSMUSG00000037995|Igsf9
ENSMUSG00000039154|Shd
ENSMUSG00000024261|Syt4
ENSMUSG00000027985|Lef1
ENSMUSG00000062519|Zfp398
ENSMUSG00000057182|Scn3a
ENSMUSG00000015944|Gatsl2
ENSMUSG00000038984|Tspyl5
ENSMUSG00000060402|Chst8
