ENSMUSG00000020495|Smg8
ENSMUSG00000014074|Rnf168
ENSMUSG00000042185|Nfrkb
ENSMUSG00000006463|Zdhhc24
ENSMUSG00000087598|Zfp111
ENSMUSG00000057406|Nsd2
ENSMUSG00000030393|Zik1
ENSMUSG00000031660|Brd7
ENSMUSG00000026975|Dph7
ENSMUSG00000026361|Cdc73
