ENSMUSG00000027669|Gnb4
ENSMUSG00000038459|Abhd17c
ENSMUSG00000021279|Cdc42bpb
ENSMUSG00000025986|Slc39a10
ENSMUSG00000032041|Tirap
ENSMUSG00000022967|Ifnar1
ENSMUSG00000015837|Sqstm1
ENSMUSG00000008384|Sertad1
ENSMUSG00000057637|Prdm2
ENSMUSG00000024773|Atg2a
