ENSMUSG00000047153|Khnyn
ENSMUSG00000024293|Esco1
ENSMUSG00000045098|Kmt5b
ENSMUSG00000092607|Scnm1
ENSMUSG00000038848|Ythdf1
ENSMUSG00000018900|Slc22a5
ENSMUSG00000021716|Srek1ip1
ENSMUSG00000023020|Cox14
ENSMUSG00000023025|Larp4
ENSMUSG00000053110|Yap1
