ENSMUSG00000040720|Virma
ENSMUSG00000057863|Rpl36
ENSMUSG00000061477|Rps7
ENSMUSG00000038803|Ost4
ENSMUSG00000003573|Homer3
ENSMUSG00000066406|Akap13
ENSMUSG00000064351|mt-Co1
ENSMUSG00000004221|Ikbkg
ENSMUSG00000007836|Hnrnpa0
ENSMUSG00000003444|Med29
