ENSMUSG00000031823|Zdhhc7
ENSMUSG00000027569|Mrgbp
ENSMUSG00000025138|Sirt7
ENSMUSG00000035505|Cox18
ENSMUSG00000005907|Pex1
ENSMUSG00000039987|Phtf2
ENSMUSG00000049922|Slc35c1
ENSMUSG00000027502|Rtf2
ENSMUSG00000039983|Ccdc32
ENSMUSG00000025935|Tram1
