ENSMUSG00000053436|Mapk14
ENSMUSG00000015668|Pdzd11
ENSMUSG00000039648|Kyat1
ENSMUSG00000063358|Mapk1
ENSMUSG00000028999|Rint1
ENSMUSG00000039357|Fut11
ENSMUSG00000006740|Kif5b
ENSMUSG00000031585|Gtf2e2
ENSMUSG00000052906|Ubxn8
ENSMUSG00000031570|Plpp5
