ENSMUSG00000000142|Axin2
ENSMUSG00000021139|Gm20498
ENSMUSG00000022199|Slc22a17
ENSMUSG00000030530|Furin
ENSMUSG00000073436|Eme2
ENSMUSG00000037049|Smpd1
ENSMUSG00000038886|Man2a2
ENSMUSG00000030849|Fgfr2
ENSMUSG00000062202|Btbd9
ENSMUSG00000000708|Kat2b
