ENSMUSG00000005886|Ncoa2
ENSMUSG00000050567|Maml1
ENSMUSG00000045482|Trrap
ENSMUSG00000032777|Gtf3c1
ENSMUSG00000004947|Dtx2
ENSMUSG00000020576|Nbas
ENSMUSG00000030850|Ate1
ENSMUSG00000019302|Atp6v0a1
ENSMUSG00000063714|Sp3os
ENSMUSG00000044791|Setd2
