ENSMUSG00000032553|Srprb
ENSMUSG00000025439|Clns1a
ENSMUSG00000023110|Prmt5
ENSMUSG00000032563|Mrpl3
ENSMUSG00000047721|Bola2
ENSMUSG00000001964|Emd
ENSMUSG00000028741|Mrto4
ENSMUSG00000053293|Pom121
ENSMUSG00000001909|Trmt1
ENSMUSG00000027324|Rpusd2
