ENSMUSG00000020803|Txndc17
ENSMUSG00000025917|Cops5
ENSMUSG00000029234|Tmem165
ENSMUSG00000041084|Ostc
ENSMUSG00000021537|Cetn3
ENSMUSG00000022757|Tfg
ENSMUSG00000025724|Sec11a
ENSMUSG00000023272|Creld2
ENSMUSG00000025135|Anapc11
ENSMUSG00000062169|Cnih4
