ENSMUSG00000009739|Pou6f1
ENSMUSG00000029442|Wdr66
ENSMUSG00000022580|Rhpn1
ENSMUSG00000028521|Slc35d1
ENSMUSG00000020175|Rab36
ENSMUSG00000020263|Appl2
ENSMUSG00000007989|Fzd3
ENSMUSG00000042616|Oscp1
ENSMUSG00000064202|4430402I18Rik
ENSMUSG00000074749|Kiz
