ENSMUSG00000056201|Cfl1
ENSMUSG00000008859|Rala
ENSMUSG00000026197|Zfand2b
ENSMUSG00000042323|Pbrm1
ENSMUSG00000026209|Dnpep
ENSMUSG00000029580|Actb
ENSMUSG00000062380|Tubb3
ENSMUSG00000022285|Ywhaz
ENSMUSG00000030811|Fbxl19
ENSMUSG00000022536|Glyr1
