ENSMUSG00000030714|Sgf29
ENSMUSG00000027706|Sec62
ENSMUSG00000020444|Guk1
ENSMUSG00000014077|Chp1
ENSMUSG00000042831|Alkbh6
ENSMUSG00000064341|mt-Nd1
ENSMUSG00000020993|Trappc6b
ENSMUSG00000029462|Vps29
ENSMUSG00000024096|Ralbp1
ENSMUSG00000096199|Ptrhd1
