ENSMUSG00000050373|Snx21
ENSMUSG00000067925|Rtl8a
ENSMUSG00000087620|5330434G04Rik
ENSMUSG00000054013|Tmem179
ENSMUSG00000025212|Sfxn3
ENSMUSG00000073888|Ccl27a
ENSMUSG00000017943|Gdap1l1
ENSMUSG00000018012|Rac3
ENSMUSG00000042109|Csdc2
ENSMUSG00000030729|Pgm2l1
