ENSMUSG00000024563|Smad2
ENSMUSG00000062604|Srpk2
ENSMUSG00000061689|Dlgap4
ENSMUSG00000050890|Pdik1l
ENSMUSG00000022159|Rab2b
ENSMUSG00000003199|Mpnd
ENSMUSG00000051864|Tbc1d22a
ENSMUSG00000040820|Hlcs
ENSMUSG00000025019|Lcor
ENSMUSG00000006906|Stambp
